,p_0,p_00,p_1,p_2
33,0.5784606160829053,0.9007486054805635,0.8447537152847847,0.33963774982479245
34,0.21975318523166998,0.0051293852646900895,0.679033890483523,0.3359153544282678
35,0.7708523705475586,0.9963393513311117,0.09264266153593825,0.10580212010923051
36,0.9225075229078594,0.18846202821428182,0.9826929737077593,0.8731978830892296
37,0.013409815722531082,0.4518322446576484,0.12904614439439344,0.03993721154945262
38,0.0946283893186225,0.8698413280170709,0.6866313063025264,0.08116958610863234
39,0.27600466209592067,0.24846666495309866,0.802873386043835,0.560476637930616
40,0.17783873599277789,0.5779646186311078,0.094864867638763,0.6838342765922188
41,0.2598228558859206,0.5886801320322858,0.09485918383500103,0.9289426978430942
42,0.5913018039328992,0.7953178056357671,0.5352440354401163,0.195720631694689
43,0.23042997147295763,0.1741055966065418,0.3618828791535932,0.4384451254689813
44,0.4594609675086707,0.7313863673985321,0.7200405849317878,0.6973247379037606
45,0.31896642816493903,0.3989915635748783,0.8351669866992169,0.6328891398492548
46,0.7420246049449915,0.777554092909177,0.37499386608188434,0.1540877953235894
47,0.4781995993547419,0.5488629181133287,0.776464827062715,0.7848094912155935
48,0.36758421901772287,0.9461376632215953,0.2903753919908105,0.5514616615234441
49,0.7989631301581149,0.9822962472573098,0.23930968059511082,0.7018320155700586
50,0.15277321521067622,0.07324520567141002,0.8000854379437419,0.5800250971745231
51,0.9184519005712087,0.7493254156023019,0.8984527121433342,0.6757482511754691
52,0.9494922893823127,0.40075520526005914,0.6466319070585191,0.35944977301805026
53,0.46130330222509486,0.6365763894840273,0.5056884708851197,0.556389198273103
54,0.32624789807972077,0.433611369675597,0.2438757046791593,0.6403219054994302
55,0.4274139150331817,0.22825074446578508,0.8735104741801107,0.09096687673994008
56,0.24565304873083016,0.4894469998501745,0.8361751207626117,0.844725454582151
57,0.6693958411922418,0.5768305179806748,0.0697962441807034,0.31105939338967414
58,0.7395395390985006,0.46894589084730365,0.7476414116065406,0.18037313560367807
59,0.2560453291380794,0.38647611538440907,0.5211754789076698,0.163033963891568
60,0.014484947687834704,0.1305360610534153,0.5398763009830878,0.6501570828507766
61,0.5827481885289537,0.7835210102200972,0.04100698033654149,0.496413792609954
62,0.7307306431302626,0.5783581186091284,0.33302891453445926,0.4218981338404739
63,0.04319914644955658,0.8555618172224283,0.8048074104744056,0.6753180012918051
64,0.2683177723037714,0.7296537967897839,0.05760077063745017,0.4518477750355997
65,0.6747082208326013,0.3589773687028269,0.24315572713582234,0.27626851907359595
66,0.6642692539333216,0.1627054161664906,0.1777743184706314,0.8287696239318603
67,0.8266079389272262,0.8076636772819201,0.7103996867030932,0.39563353265372825
68,0.8726923486628614,0.6939223236824623,0.2665626205057877,0.9001181556876243
69,0.2165143580331771,0.11868992813382306,0.10861776792744005,0.7228072096317756
70,0.527025774836624,0.49091229332909114,0.874538961237648,0.372544433923235
71,0.4136687969106265,0.1487415402801462,0.02611394129389011,0.9961352214350839
72,0.6528411043919391,0.9736983020977825,0.7431682356127842,0.299800732029482
73,0.8912351651979397,0.26505829355557975,0.05939421284629287,0.298482951161849
74,0.41147547087783365,0.3231212608082843,0.06545823730504874,0.12545450801316294
75,0.7985341765112584,0.43283500395312513,0.8911604010164681,0.22200439934593186
76,0.7566459888237033,0.36656558354915403,0.9643635448461345,0.1363551434206436
77,0.2388927773143219,0.015701373531318397,0.5106247858274229,0.044796530353913955
78,0.8690161518995383,0.5832291135760517,0.39460627504326373,0.42362453699666025
79,0.6221183153674879,0.1390295089458372,0.8097250422441709,0.3714323892152944
80,0.7294757458932837,0.7305532137805565,0.913080134982901,0.5935293587474405
81,0.045139382044901644,0.07885678268009022,0.18768953795125953,0.4204011569242727
82,0.3772742752135114,0.11235025564051249,0.723245909323326,0.35798369087136517
83,0.5921126263512357,0.15159060575451488,0.7724016733747116,0.7833432786717426
84,0.59503980693218,0.8061123672594261,0.8409075031419767,0.20290697977497085
85,0.5997663241122813,0.31049568515218307,0.5228150186205333,0.20084690236835823
86,0.9088437829422109,0.9154865106258594,0.8660909023934787,0.784938539867956
87,0.06784629794443553,0.04230992179334081,0.899279023300001,0.4185397781674818
88,0.2678509525952262,0.8533358170620344,0.34944811002568665,0.17814657220781338
89,0.05108573641667702,0.539692942946512,0.39890481800133826,0.19824276791266626
90,0.2600236097394021,0.33533597009926575,0.010340415622190346,0.7234249225293821
91,0.3259317780401839,0.6468424692480835,0.9193308617085117,0.5254498734977459
92,0.4651763378687641,0.007390087964757819,0.3838752285482069,0.6176495371171739
93,0.009369697829678891,0.04635835923918197,0.05062672097518417,0.19918072484217753
94,0.04923555066386465,0.20340298880733565,0.6370307306161863,0.010729060325952666
95,0.29580855315379806,0.8632936481585689,0.1286219146465657,0.027012821084668626
96,0.9956069222922973,0.20454442363369063,0.30619225187921295,0.2723970935966563
97,0.2307956041203617,0.9154418924362923,0.8936448996838335,0.08734674809478804
98,0.12570166745771183,0.5377498917653213,0.10002111242767808,0.5201889482955288
99,0.3275480461153104,0.8563271592514751,0.8017839253034243,0.0467636245115115
